filter,key,project,issuetype,status,customfield_58100,customfield_60501
preALP,2021-01-01,XOC-7576,XO.Clients,Customer Defect,Release pending,1.0,XOC-6317
preALP,2021-01-01,XOC-7446,XO.Clients,Customer Defect,Release pending,2.0,"XOC-6317,XOC-7491"
preALP,2021-01-01,XOC-7394,XO.Clients,Defect,Release pending,1.0,XOC-7541
preALP,2021-01-01,XOC-7291,XO.Clients,Defect,Release pending,1.0,XOC-6317
preALP,2021-01-01,XINET-19218,Northplains-Xinet-Portal,Defect,Release pending,0.0,
preALP,2021-01-01,XINET-19034,Northplains-Xinet-Portal,Defect,Release pending,0.0,
preALP,2021-01-01,XINET-18833,Northplains-Xinet-Portal,Defect,Release pending,0.0,
preALP,2021-01-01,XINET-18831,Northplains-Xinet-Portal,Defect,Release pending,1.0,XINET-18980
preALP,2021-01-01,XINET-18829,Northplains-Xinet-Portal,Defect,Release pending,2.0,"XINET-14514,XINET-14515"
preALP,2021-01-01,XINET-18798,Northplains-Xinet-Portal,Customer Defect,Release pending,1.0,XINET-18840
preALP,2021-01-01,XINET-18455,Northplains-Xinet-Portal,Defect,Release pending,1.0,XINET-14503
preALP,2021-01-01,XINET-18374,Northplains-Xinet-Portal,Customer Defect,Release pending,0.0,
preALP,2021-01-01,XINET-18272,Northplains-Xinet-Portal,Customer Defect,Release pending,0.0,
preALP,2021-01-01,XINET-18254,Northplains-Xinet-Portal,Customer Defect,Release pending,1.0,XINET-16299
preALP,2021-01-01,XINET-18187,Northplains-Xinet-Portal,Customer Defect,Release pending,1.0,XINET-16299
preALP,2021-01-01,XINET-18169,Northplains-Xinet-Portal,Customer Defect,Release pending,0.0,
preALP,2021-01-01,XINET-18167,Northplains-Xinet-Portal,Customer Defect,Release pending,0.0,
preALP,2021-01-01,XINET-18117,Northplains-Xinet-Portal,Customer Defect,Release pending,1.0,XINET-14655
preALP,2021-01-01,XINET-17966,Northplains-Xinet-Portal,Customer Defect,Release pending,3.0,"XINET-13008,XINET-13010,XINET-17535"
preALP,2021-01-01,XINET-17952,Northplains-Xinet-Portal,Customer Defect,Release pending,0.0,
preALP,2021-01-01,XINET-17926,Northplains-Xinet-Portal,Customer Defect,Release pending,2.0,"XINET-14503,XINET-18156"
preALP,2021-01-01,XINET-17862,Northplains-Xinet-Portal,Defect,Release pending,0.0,
preALP,2021-01-01,XINET-17489,Northplains-Xinet-Portal,Customer Defect,Release pending,0.0,
preALP,2021-01-01,XINET-17354,Northplains-Xinet-Portal,Customer Defect,Release pending,1.0,XINET-16299
preALP,2021-01-01,XINET-17254,Northplains-Xinet-Portal,Defect,Release pending,1.0,XINET-16299
preALP,2021-01-01,XINET-16074,Northplains-Xinet-Portal,Customer Defect,Release pending,0.0,
preALP,2021-01-01,XINET-15162,Northplains-Xinet-Portal,Defect,Release pending,0.0,
preALP,2021-01-01,XINET-15151,Northplains-Xinet-Portal,Defect,Release pending,0.0,
preALP,2021-01-01,XINET-13902,Northplains-Xinet-Portal,Customer Defect,Release pending,1.0,XINET-16299
preALP,2021-01-01,STREETSMART-1373,T3 StreetSmart,Customer Defect,Reviewed,2.0,"STREETSMART-2258,STREETSMART-4704"
preALP,2021-01-01,STREETSMART-1371,T3 StreetSmart,Customer Defect,Release pending,2.0,"STREETSMART-2233,STREETSMART-4704"
preALP,2021-01-01,SPC-34107,Symphony Commerce,Customer Defect,Release pending,0.0,
preALP,2021-01-01,SPC-33484,Symphony Commerce,Customer Defect,Release pending,0.0,
preALP,2021-01-01,SONIC-27629,Aurea Messenger,Customer Defect,In Code Review,,
preALP,2021-01-01,SOCOCO-10171,Sococo Rocketshorts,Defect,Release pending,4.0,"SOCOCO-5281,SOCOCO-5359,SOCOCO-5629,SOCOCO-5689"
preALP,2021-01-01,SOCOCO-9365,Sococo Rocketshorts,Customer Defect,Release pending,3.0,"SOCOCO-5281,SOCOCO-5315,SOCOCO-6133"
preALP,2021-01-01,SOCOCO-8713,Sococo Rocketshorts,Customer Defect,In Code Review,,The issue has no Functional Area affected
preALP,2021-01-01,SOCOCO-1392,Sococo Rocketshorts,Defect,Release pending,0.0,
preALP,2021-01-01,SLISEARCH-3104,Sli-Systems Search and Indexing,Customer Defect,Reviewed,2.0,"SLISEARCH-1950,SLISEARCH-5355"
preALP,2021-01-01,SLISEARCH-2986,Sli-Systems Search and Indexing,Customer Defect,Release pending,2.0,"SLISEARCH-1950,SLISEARCH-4620"
preALP,2021-01-01,SLIFRONT-4368,Sli-Systems Front End,Customer Defect,Release pending,5.0,"SLIFRONT-916,SLIFRONT-917,SLIFRONT-940,SLIFRONT-946,SLIFRONT-947"
preALP,2021-01-01,SLIFRONT-398,Sli-Systems Front End,Defect,Reviewed,6.0,"SLIFRONT-4879,SLIFRONT-916,SLIFRONT-917,SLIFRONT-940,SLIFRONT-946,SLIFRONT-947"
preALP,2021-01-01,SLIFRONT-376,Sli-Systems Front End,Defect,Release pending,5.0,"SLIFRONT-916,SLIFRONT-917,SLIFRONT-940,SLIFRONT-946,SLIFRONT-947"
preALP,2021-01-01,SLIFRONT-349,Sli-Systems Front End,Defect,Release pending,5.0,"SLIFRONT-916,SLIFRONT-917,SLIFRONT-940,SLIFRONT-946,SLIFRONT-947"
preALP,2021-01-01,SLIFRONT-220,Sli-Systems Front End,Defect,Reviewed,6.0,"SLIFRONT-4880,SLIFRONT-916,SLIFRONT-917,SLIFRONT-940,SLIFRONT-946,SLIFRONT-947"
preALP,2021-01-01,SLIAO-11110,Sli-Systems Analytics and Operations,Defect,Release pending,6.0,"SLIAO-1060,SLIAO-1075,SLIAO-1248,SLIAO-1249,SLIAO-1319,SLIAO-2114"
preALP,2021-01-01,SLIAO-6052,Sli-Systems Analytics and Operations,Defect,Release pending,6.0,"SLIAO-1060,SLIAO-1075,SLIAO-1248,SLIAO-1249,SLIAO-1319,SLIAO-2114"
preALP,2021-01-01,SLIAO-4513,Sli-Systems Analytics and Operations,Defect,Release pending,8.0,"SLIAO-1060,SLIAO-1086,SLIAO-1163,SLIAO-1185,SLIAO-1247,SLIAO-2120,SLIAO-5798,SLIAO-6071"
preALP,2021-01-01,SLIAO-4390,Sli-Systems Analytics and Operations,Defect,Release pending,8.0,"SLIAO-1060,SLIAO-1086,SLIAO-1163,SLIAO-1185,SLIAO-1247,SLIAO-2120,SLIAO-5798,SLIAO-6071"
preALP,2021-01-01,SLIAO-3136,Sli-Systems Analytics and Operations,Defect,Release pending,5.0,"SLIAO-1208,SLIAO-1209,SLIAO-1210,SLIAO-1211,SLIAO-1804"
preALP,2021-01-01,SLIAO-2986,Sli-Systems Analytics and Operations,Defect,Release pending,6.0,"SLIAO-1060,SLIAO-1075,SLIAO-1248,SLIAO-1249,SLIAO-1319,SLIAO-2114"
preALP,2021-01-01,SLIAO-2985,Sli-Systems Analytics and Operations,Defect,Release pending,6.0,"SLIAO-1060,SLIAO-1075,SLIAO-1248,SLIAO-1249,SLIAO-1319,SLIAO-2114"
preALP,2021-01-01,SLIAO-2984,Sli-Systems Analytics and Operations,Defect,Release pending,6.0,"SLIAO-1060,SLIAO-1075,SLIAO-1248,SLIAO-1249,SLIAO-1319,SLIAO-2114"
preALP,2021-01-01,SLIAO-2983,Sli-Systems Analytics and Operations,Defect,Release pending,6.0,"SLIAO-1060,SLIAO-1075,SLIAO-1248,SLIAO-1249,SLIAO-1319,SLIAO-2114"
preALP,2021-01-01,SLIAO-2982,Sli-Systems Analytics and Operations,Defect,Release pending,6.0,"SLIAO-1060,SLIAO-1075,SLIAO-1248,SLIAO-1249,SLIAO-1319,SLIAO-2114"
preALP,2021-01-01,SLIAO-2981,Sli-Systems Analytics and Operations,Defect,Release pending,6.0,"SLIAO-1060,SLIAO-1075,SLIAO-1248,SLIAO-1249,SLIAO-1319,SLIAO-2114"
preALP,2021-01-01,SLIAO-2980,Sli-Systems Analytics and Operations,Defect,Release pending,8.0,"SLIAO-1060,SLIAO-1086,SLIAO-1163,SLIAO-1185,SLIAO-1247,SLIAO-2120,SLIAO-5798,SLIAO-6071"
preALP,2021-01-01,SLIAO-2976,Sli-Systems Analytics and Operations,Defect,Release pending,8.0,"SLIAO-1060,SLIAO-1086,SLIAO-1163,SLIAO-1185,SLIAO-1247,SLIAO-2120,SLIAO-5798,SLIAO-6071"
preALP,2021-01-01,SLIAO-2975,Sli-Systems Analytics and Operations,Defect,Release pending,8.0,"SLIAO-1060,SLIAO-1086,SLIAO-1163,SLIAO-1185,SLIAO-1247,SLIAO-2120,SLIAO-5798,SLIAO-6071"
preALP,2021-01-01,SLIAO-613,Sli-Systems Analytics and Operations,Defect,Release pending,6.0,"SLIAO-1060,SLIAO-1075,SLIAO-1248,SLIAO-1249,SLIAO-1319,SLIAO-2114"
preALP,2021-01-01,SLIAO-543,Sli-Systems Analytics and Operations,Defect,Release pending,8.0,"SLIAO-1060,SLIAO-1086,SLIAO-1163,SLIAO-1185,SLIAO-1247,SLIAO-2120,SLIAO-5798,SLIAO-6071"
preALP,2021-01-01,SLIAO-534,Sli-Systems Analytics and Operations,Defect,Release pending,6.0,"SLIAO-1060,SLIAO-1075,SLIAO-1248,SLIAO-1249,SLIAO-1319,SLIAO-2114"
preALP,2021-01-01,SCLOOPW-18966,SchoolLoop Web,Defect,In Code Review,,
preALP,2021-01-01,SCLOOPW-18959,SchoolLoop Web,Defect,In Code Review,,
preALP,2021-01-01,SCLOOPW-18627,SchoolLoop Web,Customer Defect,In Code Review,,
preALP,2021-01-01,SCLOOPW-18432,SchoolLoop Web,Customer Defect,In Code Review,,
preALP,2021-01-01,SCLOOPW-17497,SchoolLoop Web,Defect,Release pending,14.0,"SCLOOPW-1349,SCLOOPW-1485,SCLOOPW-1502,SCLOOPW-1613,SCLOOPW-1614,SCLOOPW-1633,SCLOOPW-1635,SCLOOPW-1638,SCLOOPW-1843,SCLOOPW-1853,SCLOOPW-18932,SCLOOPW-18934,SCLOOPW-1895,SCLOOPW-1897"
preALP,2021-01-01,SCLOOPW-17300,SchoolLoop Web,Customer Defect,Release pending,15.0,"SCLOOPW-1349,SCLOOPW-1485,SCLOOPW-1502,SCLOOPW-1613,SCLOOPW-1614,SCLOOPW-1633,SCLOOPW-1635,SCLOOPW-1638,SCLOOPW-17436,SCLOOPW-1843,SCLOOPW-1853,SCLOOPW-18932,SCLOOPW-18934,SCLOOPW-1895,SCLOOPW-1897"
preALP,2021-01-01,SCLOOPW-16597,SchoolLoop Web,Customer Defect,Release pending,4.0,"SCLOOPW-1282,SCLOOPW-12971,SCLOOPW-14351,SCLOOPW-1510"
preALP,2021-01-01,SCLOOPW-16593,SchoolLoop Web,Customer Defect,Release pending,15.0,"SCLOOPW-1349,SCLOOPW-1485,SCLOOPW-1502,SCLOOPW-1613,SCLOOPW-1614,SCLOOPW-1633,SCLOOPW-1635,SCLOOPW-1638,SCLOOPW-16770,SCLOOPW-1843,SCLOOPW-1853,SCLOOPW-18932,SCLOOPW-18934,SCLOOPW-1895,SCLOOPW-1897"
preALP,2021-01-01,SCLOOPW-16498,SchoolLoop Web,Customer Defect,Release pending,15.0,"SCLOOPW-1349,SCLOOPW-1485,SCLOOPW-1502,SCLOOPW-1613,SCLOOPW-1614,SCLOOPW-1633,SCLOOPW-1635,SCLOOPW-1638,SCLOOPW-16581,SCLOOPW-1843,SCLOOPW-1853,SCLOOPW-18932,SCLOOPW-18934,SCLOOPW-1895,SCLOOPW-1897"
preALP,2021-01-01,SCLOOPW-16196,SchoolLoop Web,Customer Defect,Release pending,14.0,"SCLOOPW-1349,SCLOOPW-1485,SCLOOPW-1502,SCLOOPW-1613,SCLOOPW-1614,SCLOOPW-1633,SCLOOPW-1635,SCLOOPW-1638,SCLOOPW-1843,SCLOOPW-1853,SCLOOPW-18932,SCLOOPW-18934,SCLOOPW-1895,SCLOOPW-1897"
preALP,2021-01-01,SCLOOPW-16065,SchoolLoop Web,Customer Defect,Release pending,1.0,SCLOOPW-11160
preALP,2021-01-01,SCLOOPW-16059,SchoolLoop Web,Customer Defect,Release pending,2.0,"SCLOOPW-1829,SCLOOPW-1850"
preALP,2021-01-01,SCLOOPW-16031,SchoolLoop Web,Customer Defect,Release pending,2.0,"SCLOOPW-11160,SCLOOPW-16080"
preALP,2021-01-01,SCLOOPW-15697,SchoolLoop Web,Customer Defect,Release pending,15.0,"SCLOOPW-1349,SCLOOPW-1485,SCLOOPW-1502,SCLOOPW-1613,SCLOOPW-1614,SCLOOPW-1633,SCLOOPW-1635,SCLOOPW-1638,SCLOOPW-16619,SCLOOPW-1843,SCLOOPW-1853,SCLOOPW-18932,SCLOOPW-18934,SCLOOPW-1895,SCLOOPW-1897"
preALP,2021-01-01,SCLOOPW-15688,SchoolLoop Web,Customer Defect,Release pending,1.0,SCLOOPW-11160
preALP,2021-01-01,SCLOOPW-15659,SchoolLoop Web,Customer Defect,Release pending,14.0,"SCLOOPW-1349,SCLOOPW-1485,SCLOOPW-1502,SCLOOPW-1613,SCLOOPW-1614,SCLOOPW-1633,SCLOOPW-1635,SCLOOPW-1638,SCLOOPW-1843,SCLOOPW-1853,SCLOOPW-18932,SCLOOPW-18934,SCLOOPW-1895,SCLOOPW-1897"
