filter,Date,project,key,issuetype,status,customfield_58100,customfield_60501
preALP,2021-01-01,Sli-Systems Analytics and Operations,SLIAO-3136,Defect,Release pending,5.0,"SLIAO-1208,SLIAO-1209,SLIAO-1210,SLIAO-1211,SLIAO-1804"
preALP,2021-01-01,Sli-Systems Analytics and Operations,SLIAO-2986,Defect,Release pending,6.0,"SLIAO-1060,SLIAO-1075,SLIAO-1248,SLIAO-1249,SLIAO-1319,SLIAO-2114"
preALP,2021-01-01,Sli-Systems Analytics and Operations,SLIAO-2985,Defect,Release pending,6.0,"SLIAO-1060,SLIAO-1075,SLIAO-1248,SLIAO-1249,SLIAO-1319,SLIAO-2114"
preALP,2021-01-01,Sli-Systems Analytics and Operations,SLIAO-2984,Defect,Release pending,6.0,"SLIAO-1060,SLIAO-1075,SLIAO-1248,SLIAO-1249,SLIAO-1319,SLIAO-2114"
preALP,2021-01-01,Sli-Systems Analytics and Operations,SLIAO-2983,Defect,Release pending,6.0,"SLIAO-1060,SLIAO-1075,SLIAO-1248,SLIAO-1249,SLIAO-1319,SLIAO-2114"
preALP,2021-01-01,Sli-Systems Analytics and Operations,SLIAO-2982,Defect,Release pending,6.0,"SLIAO-1060,SLIAO-1075,SLIAO-1248,SLIAO-1249,SLIAO-1319,SLIAO-2114"
preALP,2021-01-01,Sli-Systems Analytics and Operations,SLIAO-2981,Defect,Release pending,6.0,"SLIAO-1060,SLIAO-1075,SLIAO-1248,SLIAO-1249,SLIAO-1319,SLIAO-2114"
preALP,2021-01-01,Sli-Systems Analytics and Operations,SLIAO-2980,Defect,Release pending,8.0,"SLIAO-1060,SLIAO-1086,SLIAO-1163,SLIAO-1185,SLIAO-1247,SLIAO-2120,SLIAO-5798,SLIAO-6071"
preALP,2021-01-01,Sli-Systems Analytics and Operations,SLIAO-2976,Defect,Release pending,8.0,"SLIAO-1060,SLIAO-1086,SLIAO-1163,SLIAO-1185,SLIAO-1247,SLIAO-2120,SLIAO-5798,SLIAO-6071"
preALP,2021-01-01,Sli-Systems Analytics and Operations,SLIAO-2975,Defect,Release pending,8.0,"SLIAO-1060,SLIAO-1086,SLIAO-1163,SLIAO-1185,SLIAO-1247,SLIAO-2120,SLIAO-5798,SLIAO-6071"
preALP,2021-01-01,Sli-Systems Analytics and Operations,SLIAO-613,Defect,Release pending,6.0,"SLIAO-1060,SLIAO-1075,SLIAO-1248,SLIAO-1249,SLIAO-1319,SLIAO-2114"
preALP,2021-01-01,Sli-Systems Analytics and Operations,SLIAO-543,Defect,Release pending,8.0,"SLIAO-1060,SLIAO-1086,SLIAO-1163,SLIAO-1185,SLIAO-1247,SLIAO-2120,SLIAO-5798,SLIAO-6071"
preALP,2021-01-01,Sli-Systems Analytics and Operations,SLIAO-534,Defect,Release pending,6.0,"SLIAO-1060,SLIAO-1075,SLIAO-1248,SLIAO-1249,SLIAO-1319,SLIAO-2114"
preALP,2021-01-01,SchoolLoop Web,SCLOOPW-18966,Defect,In Code Review,,
preALP,2021-01-01,SchoolLoop Web,SCLOOPW-18959,Defect,In Code Review,,
preALP,2021-01-01,SchoolLoop Web,SCLOOPW-18627,Customer Defect,In Code Review,,
preALP,2021-01-01,SchoolLoop Web,SCLOOPW-18432,Customer Defect,In Code Review,,
preALP,2021-01-01,SchoolLoop Web,SCLOOPW-17497,Defect,Release pending,14.0,"SCLOOPW-1349,SCLOOPW-1485,SCLOOPW-1502,SCLOOPW-1613,SCLOOPW-1614,SCLOOPW-1633,SCLOOPW-1635,SCLOOPW-1638,SCLOOPW-1843,SCLOOPW-1853,SCLOOPW-18932,SCLOOPW-18934,SCLOOPW-1895,SCLOOPW-1897"
