filter,key,project,issuetype,status,customfield_58100,customfield_60501
preALP,OSCMENT-5381,OneSCM Enterprise,Defect,Reviewed,1.0,OSCMENT-15901
preALP,ONYX-13128,Onyx,Customer Defect,Release pending,1.0,ONYX-12404
preALP,ONYX-12852,Onyx,Customer Defect,Release pending,0.0,
preALP,ONYX-12844,Onyx,Customer Defect,Release pending,0.0,
preALP,ONYX-12811,Onyx,Defect,Release pending,0.0,
preALP,ONYX-11802,Onyx,Customer Defect,Release pending,0.0,
preALP,ONYX-11787,Onyx,Customer Defect,Release pending,0.0,
preALP,ONYX-11683,Onyx,Customer Defect,Release pending,0.0,
preALP,ONYX-11604,Onyx,Customer Defect,Release pending,0.0,
preALP,ONYX-11600,Onyx,Customer Defect,Release pending,0.0,
preALP,ONYX-11272,Onyx,Customer Defect,Release pending,0.0,
preALP,NORTHP-25911,Northplains-Telescope,Defect,Release pending,4.0,"NORTHP-15788,NORTHP-18644,NORTHP-21509,NORTHP-22075"
preALP,NORTHP-25537,Northplains-Telescope,Defect,Release pending,9.0,"NORTHP-105,NORTHP-128,NORTHP-133,NORTHP-15788,NORTHP-16754,NORTHP-16890,NORTHP-16920,NORTHP-20859,NORTHP-80"
preALP,NORTHP-25121,Northplains-Telescope,Defect,Release pending,3.0,"NORTHP-15788,NORTHP-25434,NORTHP-99"
preALP,NORTHP-25005,Northplains-Telescope,Defect,Release pending,1.0,NORTHP-23917
preALP,NORTHP-24945,Northplains-Telescope,Defect,Release pending,5.0,"NORTHP-15788,NORTHP-17819,NORTHP-19467,NORTHP-22103,NORTHP-99"
preALP,NORTHP-23943,Northplains-Telescope,Defect,Release pending,11.0,"NORTHP-125,NORTHP-15787,NORTHP-15788,NORTHP-15851,NORTHP-17969,NORTHP-18875,NORTHP-194,NORTHP-20221,NORTHP-21487,NORTHP-25986,NORTHP-99"
preALP,NORTHP-23834,Northplains-Telescope,Customer Defect,Release pending,2.0,"NORTHP-19405,NORTHP-25824"
preALP,NORTHP-22481,Northplains-Telescope,Defect,Release pending,6.0,"NORTHP-15788,NORTHP-16890,NORTHP-16900,NORTHP-19467,NORTHP-20395,NORTHP-99"
preALP,NORTHP-20688,Northplains-Telescope,Defect,Release pending,5.0,"NORTHP-15788,NORTHP-16429,NORTHP-16547,NORTHP-16728,NORTHP-19467"
preALP,NORTHP-19632,Northplains-Telescope,Customer Defect,Release pending,6.0,"NORTHP-15788,NORTHP-16287,NORTHP-16917,NORTHP-16998,NORTHP-23706,NORTHP-23707"
preALP,NORTHP-19456,Northplains-Telescope,Defect,Release pending,3.0,"NORTHP-15788,NORTHP-21477,NORTHP-21508"
preALP,NORTHP-17676,Northplains-Telescope,Customer Defect,Release pending,3.0,"NORTHP-15788,NORTHP-25434,NORTHP-99"
preALP,NORTHP-16872,Northplains-Telescope,Defect,Release pending,1.0,NORTHP-19405
preALP,MOBINST-15293,Mobilogy - Instore,Customer Defect,Reviewed,1.0,MOBINST-15313
preALP,MOBINST-15239,Mobilogy - Instore,Customer Defect,Release pending,0.0,
preALP,MOBINST-12855,Mobilogy - Instore,Customer Defect,Release pending,0.0,
preALP,MOAFCID-42684,M1.AlertFind,Customer Defect,In Code Review,,
preALP,MOAFCID-40488,M1.AlertFind,Defect,Release pending,0.0,
preALP,MANUSCRIPT-42723,MANUSCRIPT,Customer Defect,Release pending,1.0,MANUSCRIPT-68
preALP,MANUSCRIPT-42411,MANUSCRIPT,Customer Defect,Release pending,0.0,
preALP,MANUSCRIPT-41873,MANUSCRIPT,Defect,In Code Review,,
preALP,MANUSCRIPT-41268,MANUSCRIPT,Customer Defect,Release pending,0.0,
preALP,MANUSCRIPT-41254,MANUSCRIPT,Customer Defect,Release pending,0.0,
preALP,MANUSCRIPT-40979,MANUSCRIPT,Defect,Release pending,0.0,
preALP,MANUSCRIPT-40052,MANUSCRIPT,Defect,Release pending,0.0,
preALP,MANUSCRIPT-35420,MANUSCRIPT,Customer Defect,Release pending,0.0,
preALP,KNOV-4017,Knova,Customer Defect,In Code Review,,The issue has no Functional Area affected
preALP,KAYAKOC-20735,Kayako Classic,Defect,Release pending,0.0,
preALP,KAYAKOC-20420,Kayako Classic,Customer Defect,In Code Review,,
preALP,KAYAKOC-19644,Kayako Classic,Customer Defect,Release pending,0.0,
preALP,KAYAKOC-18658,Kayako Classic,Defect,Release pending,0.0,
preALP,KAYAKOC-18472,Kayako Classic,Customer Defect,In Code Review,,The issue has no Functional Area affected
preALP,KAYAKOC-16436,Kayako Classic,Defect,Release pending,2.0,"KAYAKOC-1004,KAYAKOC-15699"
preALP,KAYAKOC-15448,Kayako Classic,Customer Defect,Release pending,0.0,
preALP,KAYAKOC-14553,Kayako Classic,Customer Defect,Reviewed,13.0,"KAYAKOC-19120,KAYAKOC-193,KAYAKOC-194,KAYAKOC-203,KAYAKOC-212,KAYAKOC-214,KAYAKOC-220,KAYAKOC-226,KAYAKOC-227,KAYAKOC-7776,KAYAKOC-921,KAYAKOC-956,KAYAKOC-957"
preALP,KAYAKOC-13909,Kayako Classic,Customer Defect,In Code Review,,The issue has no Functional Area affected
preALP,KAYAKOC-13678,Kayako Classic,Defect,Reviewed,,The issue has no Functional Area affected
preALP,KAYAKOC-11827,Kayako Classic,Customer Defect,Release pending,0.0,
preALP,KAYAKOC-9377,Kayako Classic,Defect,Release pending,12.0,"KAYAKOC-193,KAYAKOC-194,KAYAKOC-203,KAYAKOC-212,KAYAKOC-214,KAYAKOC-220,KAYAKOC-226,KAYAKOC-227,KAYAKOC-7776,KAYAKOC-921,KAYAKOC-956,KAYAKOC-957"
preALP,KAYAKOC-7883,Kayako Classic,Defect,Reviewed,,The issue has no Functional Area affected
preALP,KAYAKO-29670,Kayako TNK,Customer Defect,Reviewed,1.0,KAYAKO-1355
preALP,KAYAKO-29604,Kayako TNK,Customer Defect,In Code Review,,
preALP,KAYAKO-29552,Kayako TNK,Customer Defect,Release pending,0.0,
preALP,KAYAKO-29472,Kayako TNK,Customer Defect,In Code Review,,
preALP,KAYAKO-29328,Kayako TNK,Customer Defect,Release pending,0.0,
preALP,KAYAKO-29157,Kayako TNK,Customer Defect,Release pending,4.0,"KAYAKO-18560,KAYAKO-20536,KAYAKO-23526,KAYAKO-27388"
preALP,KAYAKO-28839,Kayako TNK,Customer Defect,In Code Review,,
preALP,KAYAKO-28830,Kayako TNK,Customer Defect,Release pending,0.0,
preALP,KAYAKO-28704,Kayako TNK,Customer Defect,In Code Review,,
preALP,KAYAKO-28571,Kayako TNK,Customer Defect,Release pending,0.0,
preALP,KAYAKO-28190,Kayako TNK,Customer Defect,Release pending,1.0,KAYAKO-3812
preALP,KAYAKO-28094,Kayako TNK,Customer Defect,Release pending,0.0,
preALP,KAYAKO-28087,Kayako TNK,Customer Defect,Release pending,0.0,
preALP,KAYAKO-27803,Kayako TNK,Customer Defect,Release pending,0.0,
preALP,KAYAKO-27758,Kayako TNK,Defect,Release pending,0.0,
preALP,KAYAKO-26520,Kayako TNK,Customer Defect,Release pending,0.0,
preALP,KAYAKO-26313,Kayako TNK,Customer Defect,Release pending,0.0,
preALP,KAYAKO-23521,Kayako TNK,Defect,Release pending,0.0,
preALP,KAYAKO-23467,Kayako TNK,Defect,Reviewed,,The issue has no Functional Area affected
preALP,KAYAKO-22263,Kayako TNK,Customer Defect,Release pending,0.0,
preALP,KAYAKO-20168,Kayako TNK,Defect,Release pending,0.0,
preALP,KAYAKO-19696,Kayako TNK,Defect,Release pending,0.0,
preALP,KAYAKO-19693,Kayako TNK,Defect,Release pending,0.0,
preALP,KAYAKO-19636,Kayako TNK,Defect,Release pending,0.0,
preALP,KAYAKO-19635,Kayako TNK,Defect,Release pending,0.0,
preALP,KAYAKO-19634,Kayako TNK,Defect,Release pending,0.0,
preALP,KAYAKO-19152,Kayako TNK,Customer Defect,Release pending,1.0,KAYAKO-2581
preALP,KAYAKO-18950,Kayako TNK,Customer Defect,Release pending,1.0,KAYAKO-20526
preALP,KAYAKO-18018,Kayako TNK,Customer Defect,Release pending,0.0,
preALP,KAYAKO-17788,Kayako TNK,Customer Defect,Release pending,0.0,
preALP,KAYAKO-17713,Kayako TNK,Customer Defect,Release pending,1.0,KAYAKO-20526
preALP,KAYAKO-17707,Kayako TNK,Defect,Release pending,0.0,
preALP,KAYAKO-15322,Kayako TNK,Defect,Release pending,2.0,"KAYAKO-10174,KAYAKO-17687"
preALP,KAYAKO-15285,Kayako TNK,Defect,Release pending,2.0,"KAYAKO-18406,KAYAKO-5049"
preALP,KAYAKO-14832,Kayako TNK,Customer Defect,Release pending,1.0,KAYAKO-16411
preALP,KAYAKO-14684,Kayako TNK,Customer Defect,Release pending,0.0,
preALP,KAYAKO-14385,Kayako TNK,Defect,Release pending,1.0,KAYAKO-19272
preALP,KAYAKO-8476,Kayako TNK,Defect,Release pending,0.0,
preALP,KAYAKO-6483,Kayako TNK,Defect,Release pending,0.0,
preALP,KAYAKO-4517,Kayako TNK,Defect,Reviewed,,The issue has no Functional Area affected
preALP,JVSRCH-9857,Jive Search,Defect,Release pending,,"Blast radius can't be calculated because ticket(s) JCLDALL-16223, JCLDALL-16278, JCLDALL-25009, JCLDALL-25488, JCLDALL-320, JCLDALL-37607, JCLDALL-39015, JCLDALL-40057, JCLDALL-40327, JCLDALL-40621, JCLDALL-40775, JCLDALL-41753, JCLDALL-41757 is/are from different project than this issue. Solution: remove cross project dependency by duplicating FA / E2E to this issue project."
preALP,JVHOPST-48018,Jive HOP Standard,Customer Defect,Reviewed,2.0,"JVHOPST-40677,JVHOPST-48150"
preALP,JVHOPST-47948,Jive HOP Standard,Customer Defect,Reviewed,1.0,JVHOPST-48007
preALP,JVHOPST-47692,Jive HOP Standard,Customer Defect,Reviewed,1.0,JVHOPST-47765
preALP,JVHOPST-47669,Jive HOP Standard,Customer Defect,Reviewed,1.0,JVHOPST-47884
preALP,JVHOPST-47498,Jive HOP Standard,Customer Defect,Reviewed,1.0,JVHOPST-40677
preALP,JVHOPST-46453,Jive HOP Standard,Customer Defect,Reviewed,1.0,JVHOPST-48525
preALP,JVHOPST-40653,Jive HOP Standard,Customer Defect,Reviewed,1.0,JVHOPST-46448
preALP,JVHOPST-40532,Jive HOP Standard,Customer Defect,Reviewed,1.0,JVHOPST-47909
preALP,JVHOPST-40372,Jive HOP Standard,Customer Defect,Reviewed,2.0,"JVHOPST-43274,JVHOPST-46969"
preALP,JVHOPST-40291,Jive HOP Standard,Customer Defect,Reviewed,1.0,JVHOPST-47547
preALP,JVHOPST-39327,Jive HOP Standard,Customer Defect,Release pending,2.0,"JVHOPST-17830,JVHOPST-41963"
preALP,JVHOPST-36020,Jive HOP Standard,Customer Defect,Reviewed,1.0,JVHOPST-47379
preALP,JVHOPST-35528,Jive HOP Standard,Customer Defect,Reviewed,1.0,JVHOPST-46632
preALP,JVHOPST-34579,Jive HOP Standard,Customer Defect,Reviewed,1.0,JVHOPST-46969
preALP,JVHOPST-22331,Jive HOP Standard,Defect,Reviewed,2.0,"JVHOPST-11854,JVHOPST-46680"
preALP,JVHOPST-22220,Jive HOP Standard,Customer Defect,Reviewed,1.0,JVHOPST-47980
preALP,JVHOPST-16311,Jive HOP Standard,Customer Defect,Reviewed,1.0,JVHOPST-47209
preALP,JVHOPST-14069,Jive HOP Standard,Customer Defect,Reviewed,1.0,JVHOPST-48031
preALP,JVHOPDH-3791,Jive Daily Hosted,Defect,Reviewed,28.0,"JVHOPDH-1014,JVHOPDH-3401,JVHOPDH-3418,JVHOPDH-472,JVHOPDH-4814,JVHOPDH-502,JVHOPDH-504,JVHOPDH-507,JVHOPDH-515,JVHOPDH-522,JVHOPDH-5397,JVHOPDH-5404,JVHOPDH-552,JVHOPDH-559,JVHOPDH-562,JVHOPDH-586,JVHOPDH-593,JVHOPDH-604,JVHOPDH-659,JVHOPDH-666,JVHOPDH-696,JVHOPDH-750,JVHOPDH-787,JVHOPDH-851,JVHOPDH-855,JVHOPDH-923,JVHOPDH-930,JVHOPDH-941"
preALP,JVHOPDH-2470,Jive Daily Hosted,Defect,Release pending,0.0,
preALP,JVFINTG-9640,Jive Integrations Framework,Customer Defect,Release pending,2.0,"JVFINTG-4570,JVFINTG-9816"
preALP,JVFINTG-9371,Jive Integrations Framework,Customer Defect,Release pending,8.0,"JVFINTG-4472,JVFINTG-4480,JVFINTG-4482,JVFINTG-4484,JVFINTG-4486,JVFINTG-4570,JVFINTG-8039,JVFINTG-9615"
preALP,JVFINTG-8456,Jive Integrations Framework,Defect,Release pending,0.0,
preALP,JVFINTG-8373,Jive Integrations Framework,Customer Defect,Release pending,13.0,"JVFINTG-4432,JVFINTG-4434,JVFINTG-4435,JVFINTG-4437,JVFINTG-4446,JVFINTG-4447,JVFINTG-4448,JVFINTG-4449,JVFINTG-4450,JVFINTG-4454,JVFINTG-4510,JVFINTG-7482,JVFINTG-8628"
preALP,JVFINTG-3771,Jive Integrations Framework,Defect,Release pending,3.0,"JVFINTG-3713,JVFINTG-5164,JVFINTG-8038"
preALP,JVFINTG-3363,Jive Integrations Framework,Defect,Release pending,2.0,"JVFINTG-3410,JVFINTG-3448"
preALP,JVCLD-106324,Jive Cloud,Defect,Release pending,0.0,
preALP,JVCLD-106260,Jive Cloud,Customer Defect,Release pending,0.0,
preALP,JVCLD-106026,Jive Cloud,Customer Defect,Release pending,5.0,"JVCLD-107790,JVCLD-41047,JVCLD-47510,JVCLD-62483,JVCLD-72329"
preALP,JVCLD-105937,Jive Cloud,Customer Defect,Release pending,1.0,JVCLD-49048
preALP,JVCLD-104609,Jive Cloud,Customer Defect,In Code Review,,
preALP,JVCLD-104491,Jive Cloud,Customer Defect,Release pending,4.0,"JVCLD-40800,JVCLD-42912,JVCLD-43837,JVCLD-43841"
preALP,JVCLD-103559,Jive Cloud,Customer Defect,Release pending,0.0,
preALP,JVCLD-101852,Jive Cloud,Customer Defect,Release pending,0.0,
preALP,JVCLD-101707,Jive Cloud,Customer Defect,Release pending,0.0,
preALP,JVCLD-101062,Jive Cloud,Customer Defect,Release pending,4.0,"JVCLD-40800,JVCLD-42912,JVCLD-43837,JVCLD-43841"
preALP,JVCLD-101047,Jive Cloud,Customer Defect,Release pending,0.0,
preALP,JVCLD-97729,Jive Cloud,Customer Defect,Release pending,0.0,
preALP,JVCLD-95893,Jive Cloud,Customer Defect,Release pending,0.0,
preALP,JVCLD-92672,Jive Cloud,Customer Defect,Release pending,4.0,"JVCLD-40767,JVCLD-48959,JVCLD-62580,JVCLD-92837"
preALP,JVCLD-92391,Jive Cloud,Defect,Release pending,1.0,JVCLD-49048
preALP,JVCLD-92055,Jive Cloud,Customer Defect,In Code Review,,
preALP,JVCLD-91725,Jive Cloud,Customer Defect,Release pending,0.0,
preALP,JVCLD-91707,Jive Cloud,Customer Defect,Release pending,1.0,JVCLD-60649
preALP,JVCLD-89127,Jive Cloud,Customer Defect,Release pending,4.0,"JVCLD-40800,JVCLD-42912,JVCLD-43837,JVCLD-43841"
preALP,JVCLD-88892,Jive Cloud,Customer Defect,Release pending,0.0,
preALP,JVCLD-86223,Jive Cloud,Customer Defect,Release pending,0.0,
preALP,JVCLD-84719,Jive Cloud,Customer Defect,Release pending,1.0,JVCLD-60649
preALP,JVCLD-84651,Jive Cloud,Customer Defect,Release pending,0.0,
preALP,JVCLD-84608,Jive Cloud,Customer Defect,Release pending,0.0,
preALP,JVCLD-81417,Jive Cloud,Customer Defect,Release pending,0.0,
preALP,JVCLD-81413,Jive Cloud,Customer Defect,Release pending,0.0,
preALP,JVCLD-81194,Jive Cloud,Customer Defect,Release pending,0.0,
preALP,JVCLD-80895,Jive Cloud,Customer Defect,Release pending,4.0,"JVCLD-40800,JVCLD-42912,JVCLD-43837,JVCLD-43841"
preALP,JVCLD-79888,Jive Cloud,Customer Defect,Release pending,0.0,
preALP,JVCLD-75779,Jive Cloud,Customer Defect,Release pending,1.0,JVCLD-49048
preALP,JVCLD-72899,Jive Cloud,Customer Defect,Release pending,0.0,
preALP,JVCLD-72693,Jive Cloud,Customer Defect,Release pending,0.0,
preALP,JVCLD-72624,Jive Cloud,Customer Defect,Release pending,4.0,"JVCLD-40800,JVCLD-42912,JVCLD-43837,JVCLD-43841"
preALP,JVCLD-72620,Jive Cloud,Customer Defect,Release pending,0.0,
preALP,JVCLD-65992,Jive Cloud,Customer Defect,Release pending,0.0,
preALP,JVCLD-65758,Jive Cloud,Customer Defect,Release pending,0.0,
preALP,JVCLD-62117,Jive Cloud,Customer Defect,Release pending,2.0,"JVCLD-40767,JVCLD-62580"
preALP,JVCLD-61479,Jive Cloud,Customer Defect,Release pending,19.0,"JVCLD-49829,JVCLD-49837,JVCLD-49838,JVCLD-50122,JVCLD-50132,JVCLD-50133,JVCLD-50244,JVCLD-54510,JVCLD-54630,JVCLD-54632,JVCLD-54635,JVCLD-65745,JVCLD-65775,JVCLD-65782,JVCLD-65820,JVCLD-65833,JVCLD-65991,JVCLD-67064,JVCLD-93620"
preALP,JVCLD-60728,Jive Cloud,Defect,In Code Review,,
preALP,JVCLD-60384,Jive Cloud,Customer Defect,Reviewed,,The issue has no Functional Area affected
preALP,JVCLD-60203,Jive Cloud,Customer Defect,Release pending,2.0,"JVCLD-40767,JVCLD-62580"
preALP,JVCLD-60202,Jive Cloud,Customer Defect,Release pending,2.0,"JVCLD-40767,JVCLD-62580"
preALP,JVCLD-60126,Jive Cloud,Customer Defect,Release pending,7.0,"JVCLD-49048,JVCLD-55614,JVCLD-62580,JVCLD-71453,JVCLD-88875,JVCLD-92516,JVCLD-93620"
preALP,JVCLD-60011,Jive Cloud,Customer Defect,Release pending,4.0,"JVCLD-40800,JVCLD-42912,JVCLD-43837,JVCLD-43841"
preALP,JVCLD-57955,Jive Cloud,Customer Defect,Release pending,1.0,JVCLD-49048
preALP,JVCLD-56836,Jive Cloud,Customer Defect,Reviewed,,The issue has no Functional Area affected
preALP,JVCLD-55598,Jive Cloud,Customer Defect,Release pending,0.0,
preALP,JVCLD-49747,Jive Cloud,Customer Defect,Release pending,0.0,
preALP,JVCLD-49559,Jive Cloud,Customer Defect,Release pending,0.0,
preALP,JVCLD-46320,Jive Cloud,Customer Defect,Release pending,0.0,
preALP,JVCLD-46197,Jive Cloud,Customer Defect,Release pending,3.0,"JVCLD-40767,JVCLD-49048,JVCLD-62580"
preALP,JVCLD-46193,Jive Cloud,Customer Defect,Release pending,2.0,"JVCLD-40767,JVCLD-62580"
preALP,JVCLD-45633,Jive Cloud,Customer Defect,Release pending,3.0,"JVCLD-45660,JVCLD-45808,JVCLD-89094"
preALP,JVCLD-45409,Jive Cloud,Defect,Release pending,4.0,"JVCLD-40800,JVCLD-42912,JVCLD-43837,JVCLD-43841"
preALP,JVCLD-45383,Jive Cloud,Customer Defect,Release pending,4.0,"JVCLD-40800,JVCLD-42912,JVCLD-43837,JVCLD-43841"
preALP,JVCLD-45167,Jive Cloud,Customer Defect,In Code Review,36.0,"JVCLD-42786, JVCLD-42976, JVCLD-43855, JVCLD-45313, JVCLD-46232, JVCLD-46642, JVCLD-50109, JVCLD-54459, JVCLD-55084, JVCLD-55107, JVCLD-55132, JVCLD-55284, JVCLD-57620, JVCLD-57631, JVCLD-57982, JVCLD-58018, JVCLD-60172, JVCLD-60458, JVCLD-60469"
preALP,JVCLD-44998,Jive Cloud,Customer Defect,Release pending,0.0,
preALP,JVCLD-44710,Jive Cloud,Customer Defect,Release pending,1.0,JVCLD-49048
preALP,JVCLD-44545,Jive Cloud,Defect,Release pending,0.0,
preALP,JVCLD-42864,Jive Cloud,Customer Defect,Release pending,0.0,
preALP,JVCLD-42791,Jive Cloud,Customer Defect,Release pending,0.0,
preALP,JVCLD-42545,Jive Cloud,Defect,Release pending,5.0,"JVCLD-40800,JVCLD-42912,JVCLD-43837,JVCLD-43841,JVCLD-49048"
preALP,JVCLD-42386,Jive Cloud,Customer Defect,Release pending,0.0,
preALP,JVCLD-42309,Jive Cloud,Customer Defect,Release pending,0.0,
preALP,JVCLD-41966,Jive Cloud,Customer Defect,Release pending,4.0,"JVCLD-40800,JVCLD-42912,JVCLD-43837,JVCLD-43841"
preALP,JVCLD-41860,Jive Cloud,Defect,Release pending,4.0,"JVCLD-40800,JVCLD-42912,JVCLD-43837,JVCLD-43841"
preALP,JVCLD-41818,Jive Cloud,Customer Defect,Release pending,4.0,"JVCLD-40800,JVCLD-42912,JVCLD-43837,JVCLD-43841"
preALP,JVCLD-41779,Jive Cloud,Customer Defect,Release pending,0.0,
preALP,JVCLD-41690,Jive Cloud,Customer Defect,Release pending,0.0,
preALP,JVCLD-41249,Jive Cloud,Customer Defect,Release pending,4.0,"JVCLD-40800,JVCLD-42912,JVCLD-43837,JVCLD-43841"
preALP,JVCLD-40504,Jive Cloud,Customer Defect,Release pending,4.0,"JVCLD-40800,JVCLD-42912,JVCLD-43837,JVCLD-43841"
preALP,JVCLD-40357,Jive Cloud,Defect,Release pending,5.0,"JVCLD-40800,JVCLD-42912,JVCLD-43837,JVCLD-43841,JVCLD-62580"
preALP,JVCLD-40054,Jive Cloud,Customer Defect,Release pending,0.0,
preALP,JVCLD-38506,Jive Cloud,Customer Defect,In Code Review,,The issue has no Functional Area affected
preALP,JVCLD-38502,Jive Cloud,Customer Defect,Release pending,11.0,"JVCLD-40800,JVCLD-42912,JVCLD-43837,JVCLD-43841,JVCLD-55614,JVCLD-60649,JVCLD-71453,JVCLD-88875,JVCLD-89094,JVCLD-92516,JVCLD-93620"
preALP,JVCLD-38494,Jive Cloud,Customer Defect,Release pending,0.0,
preALP,JVCLD-38407,Jive Cloud,Defect,Release pending,3.0,"JVCLD-107819,JVCLD-45071,JVCLD-45072"
preALP,JVCLD-38375,Jive Cloud,Defect,Release pending,3.0,"JVCLD-107819,JVCLD-45071,JVCLD-45072"
preALP,JVCLD-38363,Jive Cloud,Defect,Release pending,3.0,"JVCLD-107819,JVCLD-45071,JVCLD-45072"
preALP,JVCLD-38282,Jive Cloud,Customer Defect,In Code Review,14.0,"JVCLD-41288, JVCLD-42976, JVCLD-45069, JVCLD-49046, JVCLD-54626, JVCLD-54856, JVCLD-54972, JVCLD-54985, JVCLD-55072, JVCLD-55284, JVCLD-55526, JVCLD-60032"
preALP,JVCLD-38280,Jive Cloud,Customer Defect,Release pending,0.0,
preALP,JVCLD-38278,Jive Cloud,Customer Defect,Release pending,3.0,"JVCLD-107819,JVCLD-42912,JVCLD-43859"
preALP,JVCLD-38267,Jive Cloud,Customer Defect,Release pending,0.0,
preALP,JVCLD-38252,Jive Cloud,Defect,Release pending,5.0,"JVCLD-108961,JVCLD-41288,JVCLD-45204,JVCLD-45205,JVCLD-49048"
preALP,JVCLD-38249,Jive Cloud,Defect,Release pending,5.0,"JVCLD-40800,JVCLD-42912,JVCLD-43837,JVCLD-43841,JVCLD-49048"
preALP,JVCLD-38184,Jive Cloud,Customer Defect,Release pending,0.0,
preALP,JVCLD-38180,Jive Cloud,Customer Defect,Release pending,4.0,"JVCLD-40800,JVCLD-42912,JVCLD-43837,JVCLD-43841"
preALP,JVCLD-37993,Jive Cloud,Customer Defect,Release pending,0.0,
preALP,JVCLD-37623,Jive Cloud,Customer Defect,Release pending,1.0,JVCLD-49048
preALP,JVCLD-37622,Jive Cloud,Customer Defect,Release pending,4.0,"JVCLD-40800,JVCLD-42912,JVCLD-43837,JVCLD-43841"
preALP,JVCLD-37619,Jive Cloud,Customer Defect,Release pending,0.0,
preALP,JVCLD-37612,Jive Cloud,Customer Defect,Release pending,0.0,
preALP,JVCLD-37610,Jive Cloud,Customer Defect,In Code Review,,The issue has no Functional Area affected
preALP,JVCLD-37609,Jive Cloud,Customer Defect,Release pending,0.0,
preALP,JVCLD-37606,Jive Cloud,Customer Defect,Release pending,4.0,"JVCLD-40800,JVCLD-42912,JVCLD-43837,JVCLD-43841"
preALP,JVCLD-37602,Jive Cloud,Customer Defect,Release pending,0.0,
preALP,JVCLD-37595,Jive Cloud,Customer Defect,Release pending,1.0,JVCLD-49048
preALP,JVCLD-37592,Jive Cloud,Customer Defect,Release pending,0.0,
preALP,JVCLD-37591,Jive Cloud,Customer Defect,Reviewed,,The issue has no Functional Area affected
preALP,JVCLD-37589,Jive Cloud,Customer Defect,Release pending,1.0,JVCLD-60649
preALP,JVCLD-37586,Jive Cloud,Customer Defect,Release pending,0.0,
preALP,JVCLD-37585,Jive Cloud,Customer Defect,Release pending,1.0,JVCLD-45808
preALP,JVCLD-37568,Jive Cloud,Customer Defect,Release pending,1.0,JVCLD-49048
preALP,JVCLD-37567,Jive Cloud,Customer Defect,Release pending,2.0,"JVCLD-42912,JVCLD-49048"
preALP,JVCLD-37566,Jive Cloud,Customer Defect,Release pending,0.0,
preALP,JVCLD-37561,Jive Cloud,Customer Defect,Release pending,11.0,"JVCLD-40800,JVCLD-42912,JVCLD-43837,JVCLD-43841,JVCLD-55614,JVCLD-60649,JVCLD-71453,JVCLD-88875,JVCLD-89094,JVCLD-92516,JVCLD-93620"
preALP,JVCLD-37425,Jive Cloud,Defect,Reviewed,,"Blast radius can't be calculated because ticket(s) JCLDALL-1264, JCLDALL-1267, JCLDALL-1270, JCLDALL-1346, JCLDALL-1351, JCLDALL-1355, JCLDALL-1357, JCLDALL-1360, JCLDALL-1478, JCLDALL-16183, JCLDALL-16235, JCLDALL-16808, JCLDALL-19952, JCLDALL-25488, JCLDALL-25505, JCLDALL-25510, JCLDALL-25680, JCLDALL-320, JCLDALL-322, JCLDALL-34085, JCLDALL-34097, JCLDALL-38545, JCLDALL-38786, JCLDALL-38989, JCLDALL-40057, JCLDALL-40467, JCLDALL-42422, JCLDALL-42542 is/are from different project than this issue. Solution: remove cross project dependency by duplicating FA / E2E to this issue project."
preALP,JVCLD-37423,Jive Cloud,Defect,Release pending,2.0,"JVCLD-107819,JVCLD-43859"
preALP,JVCLD-37336,Jive Cloud,Customer Defect,Release pending,4.0,"JVCLD-40800,JVCLD-42912,JVCLD-43837,JVCLD-43841"
preALP,JVCLD-37331,Jive Cloud,Customer Defect,Release pending,3.0,"JVCLD-107819,JVCLD-45071,JVCLD-45072"
preALP,JVCLD-37321,Jive Cloud,Customer Defect,Release pending,4.0,"JVCLD-108917,JVCLD-41605,JVCLD-45660,JVCLD-45808"
preALP,JVCLD-37318,Jive Cloud,Customer Defect,Release pending,4.0,"JVCLD-40800,JVCLD-42912,JVCLD-43837,JVCLD-43841"
preALP,JVCLD-37317,Jive Cloud,Customer Defect,Release pending,5.0,"JVCLD-55614,JVCLD-71453,JVCLD-88875,JVCLD-92516,JVCLD-93620"
preALP,JVCLD-37316,Jive Cloud,Customer Defect,Release pending,0.0,
preALP,JVCLD-37311,Jive Cloud,Customer Defect,Release pending,0.0,
preALP,JVCLD-37308,Jive Cloud,Customer Defect,Release pending,4.0,"JVCLD-40800,JVCLD-42912,JVCLD-43837,JVCLD-43841"
preALP,JVCLD-37305,Jive Cloud,Customer Defect,Release pending,4.0,"JVCLD-42912,JVCLD-45619,JVCLD-55407,JVCLD-55421"
preALP,JVCLD-37298,Jive Cloud,Customer Defect,Release pending,1.0,JVCLD-108965
preALP,JVCLD-37296,Jive Cloud,Customer Defect,Release pending,1.0,JVCLD-60649
preALP,JVCLD-37292,Jive Cloud,Customer Defect,Release pending,1.0,JVCLD-49048
preALP,JVCLD-37291,Jive Cloud,Customer Defect,Release pending,0.0,
preALP,JVCLD-37289,Jive Cloud,Customer Defect,Release pending,2.0,"JVCLD-40767,JVCLD-62580"
preALP,JVCLD-37200,Jive Cloud,Customer Defect,Release pending,4.0,"JVCLD-40800,JVCLD-42912,JVCLD-43837,JVCLD-43841"
preALP,JVCLD-37196,Jive Cloud,Customer Defect,Release pending,0.0,
